Title,Year,Duration,Content Rating,Rating,Votes
The Shawshank Redemption,1994,2h 22m,R,9.3, (3.1M)
The Godfather,1972,2h 55m,R,9.2, (2.2M)
The Dark Knight,2008,2h 32m,PG-13,9.1, (3.1M)
The Godfather Part II,1974,3h 22m,R,9.0, (1.5M)
12 Angry Men,1957,1h 36m,Approved,9.0, (947K)
The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0, (2.1M)
Schindler's List,1993,3h 15m,R,9.0, (1.5M)
Pulp Fiction,1994,2h 34m,R,8.8, (2.4M)
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9, (2.1M)
"The Good, the Bad and the Ugly",1966,2h 58m,R,8.8, (867K)
Forrest Gump,1994,2h 22m,PG-13,8.8, (2.4M)
The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8, (1.9M)
Fight Club,1999,2h 19m,R,8.8, (2.5M)
Inception,2010,2h 28m,PG-13,8.8, (2.7M)
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7, (1.5M)
The Matrix,1999,2h 16m,R,8.7, (2.2M)
Goodfellas,1990,2h 25m,R,8.7, (1.3M)
Interstellar,2014,2h 49m,PG-13,8.7, (2.4M)
One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7, (1.1M)
Se7en,1995,2h 7m,R,8.6, (1.9M)
It's a Wonderful Life,1946,2h 10m,PG,8.6, (534K)
The Silence of the Lambs,1991,1h 58m,R,8.6, (1.7M)
Seven Samurai,1954,3h 27m,Not Rated,8.6, (390K)
Saving Private Ryan,1998,2h 49m,R,8.6, (1.6M)
The Green Mile,1999,3h 9m,R,8.6, (1.5M)
City of God,2002,2h 10m,R,8.6, (848K)
Life Is Beautiful,1997,1h 56m,PG-13,8.6, (789K)
Terminator 2: Judgment Day,1991,2h 17m,R,8.6, (1.2M)
Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6, (1.5M)
Back to the Future,1985,1h 56m,PG,8.5, (1.4M)
Spirited Away,2001,2h 4m,PG,8.6, (929K)
The Pianist,2002,2h 30m,R,8.5, (983K)
Gladiator,2000,2h 35m,R,8.5, (1.8M)
Parasite,2019,2h 12m,R,8.5, (1.1M)
Psycho,1960,1h 49m,R,8.5, (763K)
The Lion King,1994,1h 28m,G,8.5, (1.2M)
Grave of the Fireflies,1988,1h 28m,Not Rated,8.5, (361K)
The Departed,2006,2h 31m,R,8.5, (1.5M)
Whiplash,2014,1h 46m,R,8.5, (1.1M)
Harakiri,1962,2h 13m,Not Rated,8.6, (83K)
The Prestige,2006,2h 10m,PG-13,8.5, (1.5M)
American History X,1998,1h 59m,R,8.5, (1.2M)
Léon: The Professional,1994,1h 50m,R,8.5, (1.3M)
Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.5, (479K)
Casablanca,1942,1h 42m,PG,8.5, (639K)
Cinema Paradiso,1988,2h 54m,PG,8.5, (306K)
The Intouchables,2011,1h 52m,R,8.5, (993K)
The Usual Suspects,1995,1h 46m,R,8.5, (1.2M)
Alien,1979,1h 57m,R,8.5, (1M)
Modern Times,1936,1h 27m,G,8.5, (277K)
Rear Window,1954,1h 52m,PG,8.5, (554K)
Django Unchained,2012,2h 45m,R,8.5, (1.8M)
Once Upon a Time in the West,1968,2h 46m,PG-13,8.5, (374K)
City Lights,1931,1h 27m,G,8.5, (209K)
Apocalypse Now,1979,2h 27m,R,8.4, (751K)
WALL·E,2008,1h 38m,G,8.4, (1.3M)
Memento,2000,1h 53m,R,8.4, (1.4M)
Dune: Part Two,2024,2h 46m,PG-13,8.5, (664K)
Raiders of the Lost Ark,1981,1h 55m,PG,8.4, (1.1M)
Avengers: Infinity War,2018,2h 29m,PG-13,8.4, (1.3M)
The Lives of Others,2006,2h 17m,R,8.4, (432K)
Sunset Boulevard,1950,1h 50m,Approved,8.4, (252K)
Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4, (750K)
Witness for the Prosecution,1957,1h 56m,Approved,8.4, (153K)
Paths of Glory,1957,1h 28m,Approved,8.4, (230K)
The Shining,1980,2h 26m,R,8.4, (1.2M)
The Great Dictator,1940,2h 5m,G,8.4, (252K)
Inglourious Basterds,2009,2h 33m,R,8.4, (1.7M)
12th Fail,2023,2h 27m,,8.7, (156K)
Aliens,1986,2h 17m,R,8.4, (819K)
The Dark Knight Rises,2012,2h 44m,PG-13,8.4, (1.9M)
Coco,2017,1h 45m,PG,8.4, (667K)
Amadeus,1984,2h 40m,PG,8.4, (454K)
Avengers: Endgame,2019,3h 1m,PG-13,8.4, (1.4M)
Good Will Hunting,1997,2h 6m,R,8.3, (1.2M)
Toy Story,1995,1h 21m,G,8.3, (1.1M)
High and Low,1963,2h 23m,Not Rated,8.4, (64K)
Oldboy,2003,2h,R,8.3, (692K)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3, (543K)
Das Boot,1981,2h 29m,,8.4, (282K)
Braveheart,1995,2h 58m,R,8.3, (1.1M)
Your Name.,2016,1h 46m,,8.4, (369K)
Princess Mononoke,1997,2h 13m,PG-13,8.3, (468K)
American Beauty,1999,2h 2m,R,8.3, (1.3M)
3 Idiots,2009,2h 50m,PG-13,8.4, (467K)
Joker,2019,2h 2m,R,8.3, (1.6M)
Capernaum,2018,2h 6m,R,8.4, (119K)
Once Upon a Time in America,1984,3h 49m,R,8.3, (400K)
Singin' in the Rain,1952,1h 43m,G,8.3, (276K)
Come and See,1985,2h 22m,Not Rated,8.3, (116K)
Requiem for a Dream,2000,1h 42m,NC-17,8.3, (950K)
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3, (1.2M)
Toy Story 3,2010,1h 43m,G,8.3, (944K)
The Hunt,2012,1h 55m,R,8.3, (395K)
Ikiru,1952,2h 23m,Not Rated,8.3, (99K)
Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3, (1.2M)
Incendies,2010,2h 11m,R,8.3, (236K)
The Apartment,1960,2h 5m,Approved,8.3, (212K)
Lawrence of Arabia,1962,3h 47m,PG,8.3, (333K)
2001: A Space Odyssey,1968,2h 29m,G,8.3, (763K)
Reservoir Dogs,1992,1h 39m,R,8.3, (1.1M)
Scarface,1983,2h 50m,R,8.3, (984K)
Heat,1995,2h 50m,R,8.3, (773K)
Double Indemnity,1944,1h 47m,Approved,8.3, (177K)
North by Northwest,1959,2h 16m,Approved,8.3, (364K)
Up,2009,1h 36m,PG,8.3, (1.2M)
M,1931,1h 39m,Passed,8.3, (179K)
Citizen Kane,1941,1h 59m,PG,8.2, (486K)
Full Metal Jacket,1987,1h 56m,R,8.2, (832K)
Vertigo,1958,2h 8m,PG,8.2, (450K)
Amélie,2001,2h 2m,R,8.3, (825K)
Like Stars on Earth,2007,2h 42m,PG,8.3, (224K)
A Separation,2011,2h 3m,PG-13,8.3, (272K)
To Kill a Mockingbird,1962,2h 9m,Approved,8.3, (346K)
